geocode,municipio,uf,disease,period,zone,cases
211030, Santo Antônio dos Lopes,21,VL,2004-2008,rural,1
211070, São Domingos do Maranhão,21,VL,2004-2008,rural,1
211105, São João do Paraíso,21,VL,2004-2008,rural,2
211120, São José de Ribamar,21,VL,2004-2008,rural,79
211130, São Luís,21,VL,2004-2008,rural,83
211140, São Luís Gonzaga do Maranhão,21,VL,2004-2008,rural,3
211160, São Raimundo das Mangabeiras,21,VL,2004-2008,rural,2
211176, Senador La Rocque,21,VL,2004-2008,rural,0
211180, Sítio Novo,21,VL,2004-2008,rural,4
211210, Timbiras,21,VL,2004-2008,rural,4
211223, Trizidela do Vale,21,VL,2004-2008,rural,2
211230, Tuntum,21,VL,2004-2008,rural,5
211270, Vargem Grande,21,VL,2004-2008,rural,9
211400, Zé Doca,21,VL,2004-2008,rural,0
290320, Barreiras,29,VL,2004-2008,rural,1
290760, Central,29,VL,2004-2008,rural,0
500100, Aparecida do Taboado,50,VL,2004-2008,rural,0
510180, Barra do Garças,51,VL,2004-2008,rural,1
510250, Cáceres,51,VL,2004-2008,rural,1
510267, Campo Verde,51,VL,2004-2008,rural,0
510300, Chapada dos Guimarães,51,VL,2004-2008,rural,3
510340, Cuiabá,51,VL,2004-2008,rural,4
510380, Figueirópolis D'Oeste,51,VL,2004-2008,rural,1
510480, Jaciara,51,VL,2004-2008,rural,1
510562, Mirassol d'Oeste,51,VL,2004-2008,rural,0
510610, Nossa Senhora do Livramento,51,VL,2004-2008,rural,2
510890, Nova Maringá,51,VL,2004-2008,rural,0
510628, Novo São Joaquim,51,VL,2004-2008,rural,1
510637, Pedra Preta,51,VL,2004-2008,rural,NA
510642, Peixoto de Azevedo,51,VL,2004-2008,rural,1
510650, Poconé,51,VL,2004-2008,rural,0
510700, Poxoréo,51,VL,2004-2008,rural,0
510704, Primavera do Leste,51,VL,2004-2008,rural,2
510760, Rondonópolis,51,VL,2004-2008,rural,0
510770, Rosário Oeste,51,VL,2004-2008,rural,3
510775, Salto do Céu,51,VL,2004-2008,rural,0
510729, São José do Povo,51,VL,2004-2008,rural,1
510840, Várzea Grande,51,VL,2004-2008,rural,0
110045, Buritis,11,VL,2004-2008,rural,0
110070, Campo Novo de Rondônia,11,VL,2004-2008,rural,0
110140, Monte Negro,11,VL,2004-2008,rural,1
130330, Novo Aripuanã,13,VL,2004-2008,rural,1
130340, Parintins,13,VL,2004-2008,rural,1
140017, Cantá,14,VL,2004-2008,rural,1
150180, Breves,15,VL,2004-2008,rural,0
150260, Colares,15,VL,2004-2008,rural,1
150270, Conceição do Araguaia,15,VL,2004-2008,rural,3
150309, Goianésia do Pará,15,VL,2004-2008,rural,1
150340, Inhangapi,15,VL,2004-2008,rural,1
150370, Itupiranga,15,VL,2004-2008,rural,0
150400, Limoeiro do Ajuru,15,VL,2004-2008,rural,2
150500, Nova Timboteua,15,VL,2004-2008,rural,0
150549, Palestina do Pará,15,VL,2004-2008,rural,1
150555, Pau D'Arco,15,VL,2004-2008,rural,0
150640, Santa Cruz do Arari,15,VL,2004-2008,rural,1
150655, Santa Luzia do Pará,15,VL,2004-2008,rural,0
150710, São Caetano de Odivelas,15,VL,2004-2008,rural,1
150715, São Domingos do Araguaia,15,VL,2004-2008,rural,0
150750, São João do Araguaia,15,VL,2004-2008,rural,1
150770, São Sebastião da Boa Vista,15,VL,2004-2008,rural,1
150812, Ulianópolis,15,VL,2004-2008,rural,0
150840, Xinguara,15,VL,2004-2008,rural,0
160080, Vitória do Jari,16,VL,2004-2008,rural,0
170105, Angico,17,VL,2004-2008,rural,0
170130, Aragominas,17,VL,2004-2008,rural,2
170215, Araguanã,17,VL,2004-2008,rural,3
170240, Arraias,17,VL,2004-2008,rural,1
170270, Aurora do Tocantins,17,VL,2004-2008,rural,1
170307, Barra do Ouro,17,VL,2004-2008,rural,0
170310, Barrolândia,17,VL,2004-2008,rural,1
170388, Carmolândia,17,VL,2004-2008,rural,0
171670, Colméia,17,VL,2004-2008,rural,0
170555, Combinado,17,VL,2004-2008,rural,1
170600, Couto Magalhães,17,VL,2004-2008,rural,3
170755, Fátima,17,VL,2004-2008,rural,0
171180, Juarina,17,VL,2004-2008,rural,0
171395, Muricilândia,17,VL,2004-2008,rural,0
171660, Peixe,17,VL,2004-2008,rural,0
171720, Piraquê,17,VL,2004-2008,rural,1
171750, Pium,17,VL,2004-2008,rural,2
172210, Xambioá,17,VL,2004-2008,rural,0
210043, Alto Alegre do Maranhão,21,VL,2004-2008,rural,0
210095, Arame,21,VL,2004-2008,rural,1
210130, Bacuri,21,VL,2004-2008,rural,1
210193, Bernardo do Mearim,21,VL,2004-2008,rural,1
210207, Bom Lugar,21,VL,2004-2008,rural,1
210255, Campestre do Maranhão,21,VL,2004-2008,rural,0
210320, Chapadinha,21,VL,2004-2008,rural,3
210370, Cururupu,21,VL,2004-2008,rural,0
