geocode,municipio,uf,disease,period,rural,urban,total
150130, Barcarena,15,CL,2004-2008,6,13,19
150140, Belém,15,CL,2004-2008,4,57,61
150145, Belterra,15,CL,2004-2008,105,52,157
150150, Benevides,15,CL,2004-2008,4,5,9
150157, Bom Jesus do Tocantins,15,CL,2004-2008,21,15,36
150160, Bonito,15,CL,2004-2008,3,1,4
150170, Bragança,15,CL,2004-2008,103,86,189
150172, Brasil Novo,15,CL,2004-2008,200,48,248
150175, Brejo Grande do Araguaia,15,CL,2004-2008,3,8,11
150178, Breu Branco,15,CL,2004-2008,130,193,323
150180, Breves,15,CL,2004-2008,16,41,57
150190, Bujaru,15,CL,2004-2008,1,1,2
150200, Cachoeira do Arari,15,CL,2004-2008,5,3,8
150195, Cachoeira do Piriá,15,CL,2004-2008,101,10,111
150210, Cametá,15,CL,2004-2008,78,14,92
150215, Canaã dos Carajás,15,CL,2004-2008,21,32,53
150220, Capanema,15,CL,2004-2008,10,34,44
150230, Capitão Poço,15,CL,2004-2008,43,46,89
150240, Castanhal,15,CL,2004-2008,16,82,98
150250, Chaves,15,CL,2004-2008,4,0,4
150260, Colares,15,CL,2004-2008,7,0,7
150270, Conceição do Araguaia,15,CL,2004-2008,22,33,55
150275, Concórdia do Pará,15,CL,2004-2008,11,10,21
150276, Cumaru do Norte,15,CL,2004-2008,35,27,62
150277, Curionópolis,15,CL,2004-2008,20,62,82
150280, Curralinho,15,CL,2004-2008,45,12,57
150285, Curuá,15,CL,2004-2008,9,12,21
150290, Curuçá,15,CL,2004-2008,1,2,3
150293, Dom Eliseu,15,CL,2004-2008,98,515,613
150295, Eldorado do Carajás,15,CL,2004-2008,156,85,241
150300, Faro,15,CL,2004-2008,9,29,38
150304, Floresta do Araguaia,15,CL,2004-2008,28,39,67
150307, Garrafão do Norte,15,CL,2004-2008,50,7,57
150309, Goianésia do Pará,15,CL,2004-2008,122,193,315
150310, Gurupá,15,CL,2004-2008,26,10,36
150320, Igarapé-Açu,15,CL,2004-2008,7,9,16
150330, Igarapé-Miri,15,CL,2004-2008,30,17,47
150340, Inhangapi,15,CL,2004-2008,4,6,10
150345, Ipixuna do Pará,15,CL,2004-2008,126,36,162
150350, Irituia,15,CL,2004-2008,51,14,65
150360, Itaituba,15,CL,2004-2008,150,476,626
150370, Itupiranga,15,CL,2004-2008,122,79,201
150375, Jacareacanga,15,CL,2004-2008,36,34,70
150380, Jacundá,15,CL,2004-2008,7,153,160
150390, Juruti,15,CL,2004-2008,89,50,139
150400, Limoeiro do Ajuru,15,CL,2004-2008,6,2,8
150405, Mãe do Rio,15,CL,2004-2008,13,22,35
150420, Marabá,15,CL,2004-2008,327,376,703
150430, Maracanã,15,CL,2004-2008,3,0,3
150440, Marapanim,15,CL,2004-2008,4,2,6
150442, Marituba,15,CL,2004-2008,2,11,13
150445, Medicilândia,15,CL,2004-2008,935,177,1112
150450, Melgaço,15,CL,2004-2008,14,13,27
150460, Mocajuba,15,CL,2004-2008,78,51,129
150470, Moju,15,CL,2004-2008,334,24,358
150480, Monte Alegre,15,CL,2004-2008,441,105,546
150490, Muaná,15,CL,2004-2008,12,3,15
150495, Nova Esperança do Piriá,15,CL,2004-2008,66,40,106
150497, Nova Ipixuna,15,CL,2004-2008,17,19,36
150500, Nova Timboteua,15,CL,2004-2008,13,6,19
150503, Novo Progresso,15,CL,2004-2008,110,230,340
150506, Novo Repartimento,15,CL,2004-2008,412,122,534
150510, Óbidos,15,CL,2004-2008,291,101,392
150520, Oeiras do Pará,15,CL,2004-2008,91,22,113
150530, Oriximiná,15,CL,2004-2008,170,303,473
150540, Ourém,15,CL,2004-2008,11,6,17
150543, Ourilândia do Norte,15,CL,2004-2008,31,66,97
150548, Pacajá,15,CL,2004-2008,310,118,428
150549, Palestina do Pará,15,CL,2004-2008,1,4,5
150550, Paragominas,15,CL,2004-2008,271,604,875
150553, Parauapebas,15,CL,2004-2008,68,356,424
150555, Pau D'Arco,15,CL,2004-2008,15,10,25
150560, Peixe-Boi,15,CL,2004-2008,5,0,5
150563, Piçarra,15,CL,2004-2008,24,7,31
150565, Placas,15,CL,2004-2008,144,97,241
150580, Portel,15,CL,2004-2008,327,144,471
150590, Porto de Moz,15,CL,2004-2008,47,40,87
150600, Prainha,15,CL,2004-2008,209,24,233
150610, Primavera,15,CL,2004-2008,4,7,11
150611, Quatipuru,15,CL,2004-2008,0,2,2
150613, Redenção,15,CL,2004-2008,11,354,365
150616, Rio Maria,15,CL,2004-2008,11,64,75
150618, Rondon do Pará,15,CL,2004-2008,59,371,430
150619, Rurópolis,15,CL,2004-2008,100,110,210
150620, Salinópolis,15,CL,2004-2008,10,38,48
150630, Salvaterra,15,CL,2004-2008,10,2,12
150650, Santa Izabel do Pará,15,CL,2004-2008,13,9,22
150655, Santa Luzia do Pará,15,CL,2004-2008,16,13,29
150658, Santa Maria das Barreiras,15,CL,2004-2008,30,19,49
150660, Santa Maria do Pará,15,CL,2004-2008,25,16,41
150670, Santana do Araguaia,15,CL,2004-2008,76,155,231
150680, Santarém,15,CL,2004-2008,405,472,877
150690, Santarém Novo,15,CL,2004-2008,6,0,6
150700, Santo Antônio do Tauá,15,CL,2004-2008,3,8,11
150710, São Caetano de Odivelas,15,CL,2004-2008,3,2,5
150715, São Domingos do Araguaia,15,CL,2004-2008,66,75,141
150720, São Domingos do Capim,15,CL,2004-2008,19,3,22
150730, São Félix do Xingu,15,CL,2004-2008,205,94,299
150740, São Francisco do Pará,15,CL,2004-2008,10,1,11
