geocode,municipio,uf,disease,period,rural,urban,total
210230, Buriti Bravo,21,VL,2004-2008,0,2,2
210232, Buriticupu,21,VL,2004-2008,5,0,5
210235, Buritirana,21,VL,2004-2008,0,1,1
210270, Cantanhede,21,VL,2004-2008,12,8,20
210280, Carolina,21,VL,2004-2008,4,28,32
210300, Caxias,21,VL,2004-2008,0,1,1
210310, Cedral,21,VL,2004-2008,2,1,3
210325, Cidelândia,21,VL,2004-2008,2,0,2
210330, Codó,21,VL,2004-2008,14,61,75
210350, Colinas,21,VL,2004-2008,17,25,42
210360, Coroatá,21,VL,2004-2008,22,11,33
210375, Davinópolis,21,VL,2004-2008,1,4,5
210380, Dom Pedro,21,VL,2004-2008,2,1,3
210405, Estreito,21,VL,2004-2008,1,17,18
210407, Feira Nova do Maranhão,21,VL,2004-2008,1,0,1
210409, Formosa da Serra Negra,21,VL,2004-2008,4,1,5
210410, Fortaleza dos Nogueiras,21,VL,2004-2008,4,2,6
210420, Fortuna,21,VL,2004-2008,1,2,3
210455, Governador Edison Lobão,21,VL,2004-2008,3,24,27
210467, Governador Nunes Freire,21,VL,2004-2008,NA,NA,1
210470, Graça Aranha,21,VL,2004-2008,1,0,1
210480, Grajaú,21,VL,2004-2008,4,7,11
210500, Humberto de Campos,21,VL,2004-2008,2,0,2
210530, Imperatriz,21,VL,2004-2008,0,265,265
210550, João Lisboa,21,VL,2004-2008,2,32,34
210560, Joselândia,21,VL,2004-2008,2,0,2
210570, Lago da Pedra,21,VL,2004-2008,5,12,17
210610, Loreto,21,VL,2004-2008,1,0,1
210637, Maranhãozinho,21,VL,2004-2008,1,0,1
210650, Matinha,21,VL,2004-2008,2,0,2
210663, Matões do Norte,21,VL,2004-2008,NA,NA,1
210700, Montes Altos,21,VL,2004-2008,4,4,8
210750, Paço do Lumiar,21,VL,2004-2008,49,11,60
210760, Palmeirândia,21,VL,2004-2008,2,0,2
210770, Paraibano,21,VL,2004-2008,1,2,3
210800, Pastos Bons,21,VL,2004-2008,0,2,2
210810, Paulo Ramos,21,VL,2004-2008,2,0,2
210820, Pedreiras,21,VL,2004-2008,6,32,38
210845, Peritoró,21,VL,2004-2008,3,0,3
210860, Pinheiro,21,VL,2004-2008,1,0,1
210880, Pirapemas,21,VL,2004-2008,4,0,4
210900, Porto Franco,21,VL,2004-2008,3,27,30
210910, Presidente Dutra,21,VL,2004-2008,3,6,9
210927, Presidente Sarney,21,VL,2004-2008,0,1,1
210945, Raposa,21,VL,2004-2008,30,14,44
210950, Riachão,21,VL,2004-2008,4,10,14
210955, Ribamar Fiquene,21,VL,2004-2008,0,1,1
210960, Rosário,21,VL,2004-2008,5,2,7
211000, Santa Luzia,21,VL,2004-2008,1,0,1
211003, Santa Luzia do Paruá,21,VL,2004-2008,1,0,1
211010, Santa Quitéria do Maranhão,21,VL,2004-2008,2,0,2
211030, Santo Antônio dos Lopes,21,VL,2004-2008,1,9,10
211070, São Domingos do Maranhão,21,VL,2004-2008,1,5,6
211105, São João do Paraíso,21,VL,2004-2008,2,1,3
211120, São José de Ribamar,21,VL,2004-2008,79,17,96
211130, São Luís,21,VL,2004-2008,83,153,236
211140, São Luís Gonzaga do Maranhão,21,VL,2004-2008,3,0,3
