geocode,municipio,uf,disease,period,zone,cases
150580, Portel,15,Dengue,2004-2008,rural,6
150600, Prainha,15,Dengue,2004-2008,rural,3
150610, Primavera,15,Dengue,2004-2008,rural,10
150611, Quatipuru,15,Dengue,2004-2008,rural,53
150613, Redenção,15,Dengue,2004-2008,rural,30
150616, Rio Maria,15,Dengue,2004-2008,rural,20
150618, Rondon do Pará,15,Dengue,2004-2008,rural,83
150619, Rurópolis,15,Dengue,2004-2008,rural,50
150620, Salinópolis,15,Dengue,2004-2008,rural,56
150630, Salvaterra,15,Dengue,2004-2008,rural,5
150635, Santa Bárbara do Pará,15,Dengue,2004-2008,rural,7
150640, Santa Cruz do Arari,15,Dengue,2004-2008,rural,0
150650, Santa Izabel do Pará,15,Dengue,2004-2008,rural,11
150655, Santa Luzia do Pará,15,Dengue,2004-2008,rural,17
150658, Santa Maria das Barreiras,15,Dengue,2004-2008,rural,256
150660, Santa Maria do Pará,15,Dengue,2004-2008,rural,16
150670, Santana do Araguaia,15,Dengue,2004-2008,rural,5
150680, Santarém,15,Dengue,2004-2008,rural,450
150690, Santarém Novo,15,Dengue,2004-2008,rural,3
150700, Santo Antônio do Tauá,15,Dengue,2004-2008,rural,18
150710, São Caetano de Odivelas,15,Dengue,2004-2008,rural,14
150715, São Domingos do Araguaia,15,Dengue,2004-2008,rural,140
150720, São Domingos do Capim,15,Dengue,2004-2008,rural,8
150730, São Félix do Xingu,15,Dengue,2004-2008,rural,95
150740, São Francisco do Pará,15,Dengue,2004-2008,rural,90
150745, São Geraldo do Araguaia,15,Dengue,2004-2008,rural,163
150746, São João da Ponta,15,Dengue,2004-2008,rural,18
150747, São João de Pirabas,15,Dengue,2004-2008,rural,24
150750, São João do Araguaia,15,Dengue,2004-2008,rural,51
150760, São Miguel do Guamá,15,Dengue,2004-2008,rural,3
150770, São Sebastião da Boa Vista,15,Dengue,2004-2008,rural,1
150775, Sapucaia,15,Dengue,2004-2008,rural,18
150790, Soure,15,Dengue,2004-2008,rural,2
150795, Tailândia,15,Dengue,2004-2008,rural,18
150796, Terra Alta,15,Dengue,2004-2008,rural,11
150797, Terra Santa,15,Dengue,2004-2008,rural,4
150800, Tomé-Açu,15,Dengue,2004-2008,rural,45
150803, Tracuateua,15,Dengue,2004-2008,rural,42
150805, Trairão,15,Dengue,2004-2008,rural,24
150808, Tucumã,15,Dengue,2004-2008,rural,61
150810, Tucuruí,15,Dengue,2004-2008,rural,9
150812, Ulianópolis,15,Dengue,2004-2008,rural,49
150820, Vigia,15,Dengue,2004-2008,rural,22
150830, Viseu,15,Dengue,2004-2008,rural,38
150840, Xinguara,15,Dengue,2004-2008,rural,30
150000, Município ignorado - PA,15,Dengue,2004-2008,rural,0
160010, Amapá,16,Dengue,2004-2008,rural,0
160020, Calçoene,16,Dengue,2004-2008,rural,1
160027, Laranjal do Jari,16,Dengue,2004-2008,rural,1
160030, Macapá,16,Dengue,2004-2008,rural,28
160040, Mazagão,16,Dengue,2004-2008,rural,11
160050, Oiapoque,16,Dengue,2004-2008,rural,10
160015, Pedra Branca do Amapari,16,Dengue,2004-2008,rural,6
160053, Porto Grande,16,Dengue,2004-2008,rural,10
160060, Santana,16,Dengue,2004-2008,rural,30
160005, Serra do Navio,16,Dengue,2004-2008,rural,2
160070, Tartarugalzinho,16,Dengue,2004-2008,rural,2
170025, Abreulândia,17,Dengue,2004-2008,rural,15
170030, Aguiarnópolis,17,Dengue,2004-2008,rural,23
170035, Aliança do Tocantins,17,Dengue,2004-2008,rural,1
170040, Almas,17,Dengue,2004-2008,rural,23
170070, Alvorada,17,Dengue,2004-2008,rural,2
170100, Ananás,17,Dengue,2004-2008,rural,46
170105, Angico,17,Dengue,2004-2008,rural,4
170110, Aparecida do Rio Negro,17,Dengue,2004-2008,rural,3
170130, Aragominas,17,Dengue,2004-2008,rural,14
170190, Araguacema,17,Dengue,2004-2008,rural,22
170200, Araguaçu,17,Dengue,2004-2008,rural,13
170210, Araguaína,17,Dengue,2004-2008,rural,50
170215, Araguanã,17,Dengue,2004-2008,rural,7
170220, Araguatins,17,Dengue,2004-2008,rural,26
170230, Arapoema,17,Dengue,2004-2008,rural,4
170240, Arraias,17,Dengue,2004-2008,rural,2
170255, Augustinópolis,17,Dengue,2004-2008,rural,33
170290, Axixá do Tocantins,17,Dengue,2004-2008,rural,21
170300, Babaçulândia,17,Dengue,2004-2008,rural,8
170305, Bandeirantes do Tocantins,17,Dengue,2004-2008,rural,8
170307, Barra do Ouro,17,Dengue,2004-2008,rural,26
170310, Barrolândia,17,Dengue,2004-2008,rural,5
170330, Bom Jesus do Tocantins,17,Dengue,2004-2008,rural,1
170370, Brejinho de Nazaré,17,Dengue,2004-2008,rural,2
170380, Buriti do Tocantins,17,Dengue,2004-2008,rural,8
170384, Campos Lindos,17,Dengue,2004-2008,rural,66
170386, Cariri do Tocantins,17,Dengue,2004-2008,rural,5
170388, Carmolândia,17,Dengue,2004-2008,rural,3
170389, Carrasco Bonito,17,Dengue,2004-2008,rural,27
170390, Caseara,17,Dengue,2004-2008,rural,1
170510, Chapada da Natividade,17,Dengue,2004-2008,rural,13
170460, Chapada de Areia,17,Dengue,2004-2008,rural,4
170550, Colinas do Tocantins,17,Dengue,2004-2008,rural,4
171670, Colméia,17,Dengue,2004-2008,rural,9
170555, Combinado,17,Dengue,2004-2008,rural,6
170600, Couto Magalhães,17,Dengue,2004-2008,rural,11
170610, Cristalândia,17,Dengue,2004-2008,rural,1
170625, Crixás do Tocantins,17,Dengue,2004-2008,rural,4
170650, Darcinópolis,17,Dengue,2004-2008,rural,8
170700, Dianópolis,17,Dengue,2004-2008,rural,6
170710, Divinópolis do Tocantins,17,Dengue,2004-2008,rural,13
170720, Dois Irmãos do Tocantins,17,Dengue,2004-2008,rural,19
170730, Dueré,17,Dengue,2004-2008,rural,13
170740, Esperantina,17,Dengue,2004-2008,rural,71
170765, Figueirópolis,17,Dengue,2004-2008,rural,13
170770, Filadélfia,17,Dengue,2004-2008,rural,13
170820, Formoso do Araguaia,17,Dengue,2004-2008,rural,20
170825, Fortaleza do Tabocão,17,Dengue,2004-2008,rural,2
170830, Goianorte,17,Dengue,2004-2008,rural,2
170900, Goiatins,17,Dengue,2004-2008,rural,17
170930, Guaraí,17,Dengue,2004-2008,rural,16
170950, Gurupi,17,Dengue,2004-2008,rural,8
170980, Ipueiras,17,Dengue,2004-2008,rural,1
171050, Itacajá,17,Dengue,2004-2008,rural,1
171070, Itaguatins,17,Dengue,2004-2008,rural,18
171090, Itapiratins,17,Dengue,2004-2008,rural,4
171110, Itaporã do Tocantins,17,Dengue,2004-2008,rural,7
171150, Jaú do Tocantins,17,Dengue,2004-2008,rural,1
171180, Juarina,17,Dengue,2004-2008,rural,5
171190, Lagoa da Confusão,17,Dengue,2004-2008,rural,7
171200, Lajeado,17,Dengue,2004-2008,rural,13
171215, Lavandeira,17,Dengue,2004-2008,rural,1
171245, Luzinópolis,17,Dengue,2004-2008,rural,5
171250, Marianópolis do Tocantins,17,Dengue,2004-2008,rural,5
171270, Mateiros,17,Dengue,2004-2008,rural,2
171280, Maurilândia do Tocantins,17,Dengue,2004-2008,rural,12
171320, Miracema do Tocantins,17,Dengue,2004-2008,rural,19
171330, Miranorte,17,Dengue,2004-2008,rural,11
171360, Monte do Carmo,17,Dengue,2004-2008,rural,7
171370, Monte Santo do Tocantins,17,Dengue,2004-2008,rural,12
171395, Muricilândia,17,Dengue,2004-2008,rural,1
171420, Natividade,17,Dengue,2004-2008,rural,28
171430, Nazaré,17,Dengue,2004-2008,rural,7
171488, Nova Olinda,17,Dengue,2004-2008,rural,13
171500, Nova Rosalândia,17,Dengue,2004-2008,rural,4
171510, Novo Acordo,17,Dengue,2004-2008,rural,0
171515, Novo Alegre,17,Dengue,2004-2008,rural,2
171525, Novo Jardim,17,Dengue,2004-2008,rural,2
171550, Oliveira de Fátima,17,Dengue,2004-2008,rural,1
172100, Palmas,17,Dengue,2004-2008,rural,43
171380, Palmeiras do Tocantins,17,Dengue,2004-2008,rural,5
171610, Paraíso do Tocantins,17,Dengue,2004-2008,rural,44
171630, Pau D'Arco,17,Dengue,2004-2008,rural,3
171650, Pedro Afonso,17,Dengue,2004-2008,rural,5
171660, Peixe,17,Dengue,2004-2008,rural,21
171665, Pequizeiro,17,Dengue,2004-2008,rural,28
171720, Piraquê,17,Dengue,2004-2008,rural,4
171750, Pium,17,Dengue,2004-2008,rural,35
171780, Ponte Alta do Bom Jesus,17,Dengue,2004-2008,rural,12
171790, Ponte Alta do Tocantins,17,Dengue,2004-2008,rural,1
171800, Porto Alegre do Tocantins,17,Dengue,2004-2008,rural,3
171820, Porto Nacional,17,Dengue,2004-2008,rural,37
171830, Praia Norte,17,Dengue,2004-2008,rural,16
171845, Pugmil,17,Dengue,2004-2008,rural,6
171855, Riachinho,17,Dengue,2004-2008,rural,49
171870, Rio dos Bois,17,Dengue,2004-2008,rural,14
171875, Rio Sono,17,Dengue,2004-2008,rural,4
171880, Sampaio,17,Dengue,2004-2008,rural,8
171884, Sandolândia,17,Dengue,2004-2008,rural,9
171886, Santa Fé do Araguaia,17,Dengue,2004-2008,rural,1
171888, Santa Maria do Tocantins,17,Dengue,2004-2008,rural,4
171890, Santa Rosa do Tocantins,17,Dengue,2004-2008,rural,90
171900, Santa Tereza do Tocantins,17,Dengue,2004-2008,rural,1
172000, Santa Terezinha do Tocantins,17,Dengue,2004-2008,rural,5
172010, São Bento do Tocantins,17,Dengue,2004-2008,rural,27
172015, São Félix do Tocantins,17,Dengue,2004-2008,rural,1
172020, São Miguel do Tocantins,17,Dengue,2004-2008,rural,55
172025, São Salvador do Tocantins,17,Dengue,2004-2008,rural,10
172030, São Sebastião do Tocantins,17,Dengue,2004-2008,rural,1
172049, São Valério,17,Dengue,2004-2008,rural,5
172065, Silvanópolis,17,Dengue,2004-2008,rural,8
172080, Sítio Novo do Tocantins,17,Dengue,2004-2008,rural,18
172085, Sucupira,17,Dengue,2004-2008,rural,9
172090, Taguatinga,17,Dengue,2004-2008,rural,20
172093, Taipas do Tocantins,17,Dengue,2004-2008,rural,1
172110, Tocantínia,17,Dengue,2004-2008,rural,12
172120, Tocantinópolis,17,Dengue,2004-2008,rural,100
172125, Tupirama,17,Dengue,2004-2008,rural,1
172130, Tupiratins,17,Dengue,2004-2008,rural,3
172208, Wanderlândia,17,Dengue,2004-2008,rural,28
172210, Xambioá,17,Dengue,2004-2008,rural,10
210005, Açailândia,21,Dengue,2004-2008,rural,16
210020, Alcântara,21,Dengue,2004-2008,rural,17
210040, Altamira do Maranhão,21,Dengue,2004-2008,rural,3
210043, Alto Alegre do Maranhão,21,Dengue,2004-2008,rural,2
210047, Alto Alegre do Pindaré,21,Dengue,2004-2008,rural,35
210050, Alto Parnaíba,21,Dengue,2004-2008,rural,5
210055, Amapá do Maranhão,21,Dengue,2004-2008,rural,1
210060, Amarante do Maranhão,21,Dengue,2004-2008,rural,36
210070, Anajatuba,21,Dengue,2004-2008,rural,5
210083, Apicum-Açu,21,Dengue,2004-2008,rural,12
210087, Araguanã,21,Dengue,2004-2008,rural,3
210090, Araioses,21,Dengue,2004-2008,rural,NA
210095, Arame,21,Dengue,2004-2008,rural,16
210100, Arari,21,Dengue,2004-2008,rural,1
210110, Axixá,21,Dengue,2004-2008,rural,44
210120, Bacabal,21,Dengue,2004-2008,rural,21
210125, Bacabeira,21,Dengue,2004-2008,rural,30
210130, Bacuri,21,Dengue,2004-2008,rural,10
210140, Balsas,21,Dengue,2004-2008,rural,34
210160, Barra do Corda,21,Dengue,2004-2008,rural,208
210170, Barreirinhas,21,Dengue,2004-2008,rural,4
210173, Belágua,21,Dengue,2004-2008,rural,0
210190, Bequimão,21,Dengue,2004-2008,rural,42
210193, Bernardo do Mearim,21,Dengue,2004-2008,rural,3
210197, Boa Vista do Gurupi,21,Dengue,2004-2008,rural,1
210200, Bom Jardim,21,Dengue,2004-2008,rural,20
210203, Bom Jesus das Selvas,21,Dengue,2004-2008,rural,24
210207, Bom Lugar,21,Dengue,2004-2008,rural,2
210215, Brejo de Areia,21,Dengue,2004-2008,rural,11
210220, Buriti,21,Dengue,2004-2008,rural,1
210230, Buriti Bravo,21,Dengue,2004-2008,rural,3
210232, Buriticupu,21,Dengue,2004-2008,rural,17
210237, Cachoeira Grande,21,Dengue,2004-2008,rural,13
210240, Cajapió,21,Dengue,2004-2008,rural,5
210250, Cajari,21,Dengue,2004-2008,rural,12
210255, Campestre do Maranhão,21,Dengue,2004-2008,rural,7
210260, Cândido Mendes,21,Dengue,2004-2008,rural,5
210270, Cantanhede,21,Dengue,2004-2008,rural,19
210275, Capinzal do Norte,21,Dengue,2004-2008,rural,33
210280, Carolina,21,Dengue,2004-2008,rural,43
210300, Caxias,21,Dengue,2004-2008,rural,0
210310, Cedral,21,Dengue,2004-2008,rural,28
