geocode,municipio,uf,disease,period,zone,cases
150553, Parauapebas,15,CL,2004-2008,rural,68
150555, Pau D'Arco,15,CL,2004-2008,rural,15
150560, Peixe-Boi,15,CL,2004-2008,rural,5
150563, Piçarra,15,CL,2004-2008,rural,24
150565, Placas,15,CL,2004-2008,rural,144
150580, Portel,15,CL,2004-2008,rural,327
150590, Porto de Moz,15,CL,2004-2008,rural,47
150600, Prainha,15,CL,2004-2008,rural,209
150610, Primavera,15,CL,2004-2008,rural,4
150611, Quatipuru,15,CL,2004-2008,rural,0
150613, Redenção,15,CL,2004-2008,rural,11
150616, Rio Maria,15,CL,2004-2008,rural,11
150618, Rondon do Pará,15,CL,2004-2008,rural,59
150619, Rurópolis,15,CL,2004-2008,rural,100
150620, Salinópolis,15,CL,2004-2008,rural,10
150630, Salvaterra,15,CL,2004-2008,rural,10
150650, Santa Izabel do Pará,15,CL,2004-2008,rural,13
150655, Santa Luzia do Pará,15,CL,2004-2008,rural,16
150658, Santa Maria das Barreiras,15,CL,2004-2008,rural,30
150660, Santa Maria do Pará,15,CL,2004-2008,rural,25
150670, Santana do Araguaia,15,CL,2004-2008,rural,76
150680, Santarém,15,CL,2004-2008,rural,405
150690, Santarém Novo,15,CL,2004-2008,rural,6
150700, Santo Antônio do Tauá,15,CL,2004-2008,rural,3
150710, São Caetano de Odivelas,15,CL,2004-2008,rural,3
150715, São Domingos do Araguaia,15,CL,2004-2008,rural,66
150720, São Domingos do Capim,15,CL,2004-2008,rural,19
150730, São Félix do Xingu,15,CL,2004-2008,rural,205
150740, São Francisco do Pará,15,CL,2004-2008,rural,10
150745, São Geraldo do Araguaia,15,CL,2004-2008,rural,56
150746, São João da Ponta,15,CL,2004-2008,rural,5
150747, São João de Pirabas,15,CL,2004-2008,rural,8
150750, São João do Araguaia,15,CL,2004-2008,rural,21
150760, São Miguel do Guamá,15,CL,2004-2008,rural,18
150770, São Sebastião da Boa Vista,15,CL,2004-2008,rural,7
150775, Sapucaia,15,CL,2004-2008,rural,4
150780, Senador José Porfírio,15,CL,2004-2008,rural,54
150790, Soure,15,CL,2004-2008,rural,1
150795, Tailândia,15,CL,2004-2008,rural,433
150796, Terra Alta,15,CL,2004-2008,rural,4
150797, Terra Santa,15,CL,2004-2008,rural,22
150800, Tomé-Açu,15,CL,2004-2008,rural,483
150803, Tracuateua,15,CL,2004-2008,rural,21
150805, Trairão,15,CL,2004-2008,rural,117
150808, Tucumã,15,CL,2004-2008,rural,51
150810, Tucuruí,15,CL,2004-2008,rural,16
150812, Ulianópolis,15,CL,2004-2008,rural,152
150815, Uruará,15,CL,2004-2008,rural,602
150820, Vigia,15,CL,2004-2008,rural,1
150830, Viseu,15,CL,2004-2008,rural,45
150835, Vitória do Xingu,15,CL,2004-2008,rural,28
150840, Xinguara,15,CL,2004-2008,rural,11
150000, Município ignorado - PA,15,CL,2004-2008,rural,2
160010, Amapá,16,CL,2004-2008,rural,6
160020, Calçoene,16,CL,2004-2008,rural,128
160021, Cutias,16,CL,2004-2008,rural,2
160023, Ferreira Gomes,16,CL,2004-2008,rural,15
160027, Laranjal do Jari,16,CL,2004-2008,rural,197
160030, Macapá,16,CL,2004-2008,rural,39
160040, Mazagão,16,CL,2004-2008,rural,158
160050, Oiapoque,16,CL,2004-2008,rural,126
160015, Pedra Branca do Amapari,16,CL,2004-2008,rural,149
160053, Porto Grande,16,CL,2004-2008,rural,469
160055, Pracuúba,16,CL,2004-2008,rural,12
160060, Santana,16,CL,2004-2008,rural,65
160005, Serra do Navio,16,CL,2004-2008,rural,134
160070, Tartarugalzinho,16,CL,2004-2008,rural,116
160080, Vitória do Jari,16,CL,2004-2008,rural,24
160000, Município ignorado - AP,16,CL,2004-2008,rural,2
170025, Abreulândia,17,CL,2004-2008,rural,10
170030, Aguiarnópolis,17,CL,2004-2008,rural,2
170035, Aliança do Tocantins,17,CL,2004-2008,rural,0
170040, Almas,17,CL,2004-2008,rural,3
170100, Ananás,17,CL,2004-2008,rural,15
170105, Angico,17,CL,2004-2008,rural,5
170110, Aparecida do Rio Negro,17,CL,2004-2008,rural,9
170130, Aragominas,17,CL,2004-2008,rural,4
170190, Araguacema,17,CL,2004-2008,rural,18
170200, Araguaçu,17,CL,2004-2008,rural,16
170210, Araguaína,17,CL,2004-2008,rural,16
170215, Araguanã,17,CL,2004-2008,rural,2
170220, Araguatins,17,CL,2004-2008,rural,16
170230, Arapoema,17,CL,2004-2008,rural,5
170240, Arraias,17,CL,2004-2008,rural,3
170255, Augustinópolis,17,CL,2004-2008,rural,2
170270, Aurora do Tocantins,17,CL,2004-2008,rural,8
170290, Axixá do Tocantins,17,CL,2004-2008,rural,5
170300, Babaçulândia,17,CL,2004-2008,rural,11
170305, Bandeirantes do Tocantins,17,CL,2004-2008,rural,1
