geocode,municipio,uf,disease,period,zone,cases
120033, Mâncio Lima,12,chagas,2015-2019,urban,0
120035, Marechal Thaumaturgo,12,chagas,2015-2019,urban,0
120039, Porto Walter,12,chagas,2015-2019,urban,0
120042, Rodrigues Alves,12,chagas,2015-2019,urban,0
120060, Tarauacá,12,chagas,2015-2019,urban,2
130002, Alvarães,13,chagas,2015-2019,urban,0
130020, Atalaia do Norte,13,chagas,2015-2019,urban,1
130040, Barcelos,13,chagas,2015-2019,urban,1
130050, Barreirinha,13,chagas,2015-2019,urban,8
130068, Boa Vista do Ramos,13,chagas,2015-2019,urban,1
130100, Carauari,13,chagas,2015-2019,urban,14
130120, Coari,13,chagas,2015-2019,urban,2
130140, Eirunepé,13,chagas,2015-2019,urban,0
130160, Fonte Boa,13,chagas,2015-2019,urban,0
130180, Ipixuna,13,chagas,2015-2019,urban,0
130185, Iranduba,13,chagas,2015-2019,urban,0
130220, Juruá,13,chagas,2015-2019,urban,2
130240, Lábrea,13,chagas,2015-2019,urban,7
130260, Manaus,13,chagas,2015-2019,urban,10
130270, Manicoré,13,chagas,2015-2019,urban,0
130280, Maraã,13,chagas,2015-2019,urban,0
130310, Nova Olinda do Norte,13,chagas,2015-2019,urban,0
130340, Parintins,13,chagas,2015-2019,urban,1
130390, São Paulo de Olivença,13,chagas,2015-2019,urban,1
130420, Tefé,13,chagas,2015-2019,urban,0
130426, Uarini,13,chagas,2015-2019,urban,6
140010, Boa Vista,14,chagas,2015-2019,urban,2
140020, Caracaraí,14,chagas,2015-2019,urban,1
150010, Abaetetuba,15,chagas,2015-2019,urban,61
150020, Acará,15,chagas,2015-2019,urban,12
150030, Afuá,15,chagas,2015-2019,urban,2
150034, Água Azul do Norte,15,chagas,2015-2019,urban,0
150040, Alenquer,15,chagas,2015-2019,urban,1
150060, Altamira,15,chagas,2015-2019,urban,1
150070, Anajás,15,chagas,2015-2019,urban,2
150080, Ananindeua,15,chagas,2015-2019,urban,40
150090, Augusto Corrêa,15,chagas,2015-2019,urban,1
150095, Aurora do Pará,15,chagas,2015-2019,urban,0
150110, Bagre,15,chagas,2015-2019,urban,32
150120, Baião,15,chagas,2015-2019,urban,2
150130, Barcarena,15,chagas,2015-2019,urban,35
150140, Belém,15,chagas,2015-2019,urban,154
150150, Benevides,15,chagas,2015-2019,urban,9
150170, Bragança,15,chagas,2015-2019,urban,8
150178, Breu Branco,15,chagas,2015-2019,urban,0
150180, Breves,15,chagas,2015-2019,urban,98
150190, Bujaru,15,chagas,2015-2019,urban,20
150210, Cametá,15,chagas,2015-2019,urban,33
150230, Capitão Poço,15,chagas,2015-2019,urban,0
150240, Castanhal,15,chagas,2015-2019,urban,4
150280, Curralinho,15,chagas,2015-2019,urban,6
150285, Curuá,15,chagas,2015-2019,urban,2
150307, Garrafão do Norte,15,chagas,2015-2019,urban,0
150310, Gurupá,15,chagas,2015-2019,urban,0
150320, Igarapé-Açu,15,chagas,2015-2019,urban,0
150330, Igarapé-Miri,15,chagas,2015-2019,urban,10
150340, Inhangapi,15,chagas,2015-2019,urban,0
150345, Ipixuna do Pará,15,chagas,2015-2019,urban,1
150350, Irituia,15,chagas,2015-2019,urban,0
150375, Jacareacanga,15,chagas,2015-2019,urban,0
150390, Juruti,15,chagas,2015-2019,urban,1
150400, Limoeiro do Ajuru,15,chagas,2015-2019,urban,13
150410, Magalhães Barata,15,chagas,2015-2019,urban,1
150420, Marabá,15,chagas,2015-2019,urban,1
150442, Marituba,15,chagas,2015-2019,urban,8
150450, Melgaço,15,chagas,2015-2019,urban,4
150460, Mocajuba,15,chagas,2015-2019,urban,3
150470, Moju,15,chagas,2015-2019,urban,10
150490, Muaná,15,chagas,2015-2019,urban,7
150506, Novo Repartimento,15,chagas,2015-2019,urban,3
150520, Oeiras do Pará,15,chagas,2015-2019,urban,4
150530, Oriximiná,15,chagas,2015-2019,urban,0
150540, Ourém,15,chagas,2015-2019,urban,1
150548, Pacajá,15,chagas,2015-2019,urban,0
150550, Paragominas,15,chagas,2015-2019,urban,5
150570, Ponta de Pedras,15,chagas,2015-2019,urban,1
150580, Portel,15,chagas,2015-2019,urban,4
150600, Prainha,15,chagas,2015-2019,urban,2
150620, Salinópolis,15,chagas,2015-2019,urban,0
150635, Santa Bárbara do Pará,15,chagas,2015-2019,urban,2
150680, Santarém,15,chagas,2015-2019,urban,1
150700, Santo Antônio do Tauá,15,chagas,2015-2019,urban,1
150720, São Domingos do Capim,15,chagas,2015-2019,urban,3
150760, São Miguel do Guamá,15,chagas,2015-2019,urban,1
